team,elo,form,avg_gf,avg_ga,xg,xga,squad_rating
Fiji,1104,0.32727272727272727,0.7,2.8,0.7,2.8,69.77777777777777
Seychelles,853,0.0,0.2,5.3,0.2,5.3,64.0
Samoa,728,0.8727272727272727,1.2,3.0,1.2,3.0,65.0
Eritrea,1201,0.01818181818181818,0.4,2.1,0.4,2.1,65.0
Lesotho,1198,0.8727272727272727,0.7,1.9,0.7,1.9,65.0
Tuvalu,756,1.1090909090909091,1.3,5.6,1.3,5.6,65.0
Papua New Guinea,1135,2.018181818181818,1.8,1.5,1.8,1.5,64.75
Cook Islands,622,0.7090909090909091,0.5,3.3,0.5,3.3,65.0
American Samoa,1500,0.01818181818181818,0.6,6.6,0.6,6.6,65.0
Kiribati,544,0.03636363636363636,0.7,10.2,0.7,10.2,65.0
Bermuda,1117,0.8545454545454545,1.4,2.6,1.4,2.6,66.9
Djibouti,940,0.07272727272727272,0.5,2.7,0.5,2.7,65.0
São Tomé and Príncipe,1035,0.6,0.6,2.1,0.6,2.1,65.0
Tonga,520,0.8181818181818182,1.2,4.5,1.2,4.5,65.0
Chagos Islands,782,0.2727272727272727,1.5,5.6,1.5,5.6,65.0
Raetia,1500,1.4181818181818182,2.5,3.2,2.5,3.2,65.0
Cilento,1500,0.0,0.0,2.0,0.0,2.0,65.0
Sápmi,1500,0.8727272727272727,1.1,2.0,1.1,2.0,65.0
Sealand,1500,1.8545454545454545,2.4,2.5,2.4,2.5,65.0
Kurdistan,1424,2.7333333333333334,2.4,0.4,2.4,0.4,65.0
Northern Cyprus,1442,1.981818181818182,2.8,0.8,2.8,0.8,65.0
Darfur,1500,0.0,0.14285714285714285,14.142857142857142,0.14285714285714285,14.142857142857142,65.0
Tamil Eelam,1500,2.7818181818181817,2.7,1.3,2.7,1.3,65.0
South Sudan,1109,0.4909090909090909,0.6,2.0,0.6,2.0,54.07142857142857
Abkhazia,1500,1.8909090909090909,1.8,0.7,1.8,0.7,65.0
Artsakh,1500,2.0545454545454547,3.1,1.3,3.1,1.3,65.0
Brunei,572,0.4909090909090909,0.4,2.4,0.4,2.4,65.0
Madrid,1500,0.0,1.0,2.0,1.0,2.0,65.0
Andalusia,1500,2.6,2.3,0.9,2.3,0.9,65.0
Quebec,1500,1.5,8.0,0.6666666666666666,8.0,0.6666666666666666,65.0
Tibet,629,0.2,1.6,4.1,1.6,4.1,65.0
Saugeais,1500,1.0,1.0,1.0,1.0,1.0,65.0
Frøya,1500,0.34545454545454546,1.3,3.9,1.3,3.9,65.0
South Ossetia,1500,1.6545454545454545,1.3,2.2,1.3,2.2,65.0
